Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes,Date_added
3984-15519-1,Igorrr,Savage Sinusoid,Metal Blade Records,"LP, Album, Ltd, Num, Pin",4,2017,10773856,,2017-08-30 07:49:06
CMTWAFTF,Crackmind,The Wreck Age - I. Face To Faith,MindProduction,"12"", MiniAlbum, Ltd, Red",5,2017,9714627,,2017-08-09 02:22:03
CMTWAFTF/1,Crackmind,The Wreck Age - I. Face To Faith,MindProduction,"CD, MiniAlbum, EP",5,2016,9558503,,2017-08-09 02:59:41
none,Crackmind,Call MIND-1-1,MindProduction,"CD, Album",4,2007,8313835,,2017-08-09 02:59:31
none,Crackmind,A Rose May Fly ...,MindProduction,"CD, EP",4,2008,9538556,,2017-08-09 02:59:44
9855004,Wolfmother,Wolfmother,Modular Recordings,"2xLP, Album",,2006,765415,,2017-11-27 04:44:58
600753615232,Wolfmother,Wolfmother,"Modular Recordings, Interscope Records, Universal Music Group International","2xLP, Album, RE, S/Edition, 180",,2015,7710941,,2017-11-27 04:46:11
MALP001,Mos Generator,The Late Great Planet Earth,Music Abuse Records,LP,,2005,5728703,,2017-04-22 15:41:33
MOVLP385,Caravan,Caravan,Music On Vinyl,"LP, Album, RE",,2011,3738747,,2017-10-02 01:49:22
MOVLP400,Wolfmother,Wolfmother,Music On Vinyl,"2xLP, Album, RE, 180",,2011,4277579,,2017-02-13 06:54:10
MOVLP400,Wolfmother,Wolfmother,Music On Vinyl,"2xLP, Album, Ltd, RE, Red",,2011,3290277,,2017-11-27 04:45:05
MOVLP800,Mother Love Bone,Mother Love Bone,Music On Vinyl,"2xLP, Comp, Ltd, Num, RE, Pur",,2013,4576152,,2017-05-02 14:49:03
MOVLP800,Mother Love Bone,Mother Love Bone,Music On Vinyl,"2xLP, Comp, RE, 180",,2013,4576142,,2017-05-02 14:49:07
MOVLP956,Temple Of The Dog,Temple Of The Dog,Music On Vinyl,"LP + LP, S/Sided, Etch + Album, Ltd, Num, RE, Pur",,2013,5045271,,2017-05-03 02:24:13
